Barcode_i	Barcode_j	C_ij.HetDipl	C_ij.NoDrug	C_ij.DMSO	C_ij.MMS	C_ij.4NQO	C_ij.BLMC	C_ij.ZEOC	C_ij.HYDX	C_ij.DXRB	C_ij.CMPT	C_ij.CSPL	GIS_ij.NoDrug	GIS_ij.DMSO	GIS_ij.MMS	GIS_ij.4NQO	GIS_ij.BLMC	GIS_ij.ZEOC	GIS_ij.HYDX	GIS_ij.DXRB	GIS_ij.CMPT	GIS_ij.CSPL	Chromosomal_distance_bp	Remove_by_Chromosomal_distance_or_SameGene	Type_of_gene_i	Type_of_gene_j	SOJ_E_NoMMS	SOJ_E_MMS	SOJ_Class_NoMMS	SOJ_Class_MMS
HO_donor_1	PSY3_recipient_1	218	241	226	189	249	161	233	172	236	270	233	0.221038058	0.243593118	0.248887028	0.350195072	0.074193433	0.17100868	0.104732603	0.204391867	0.32525649	0.236498062	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	PSY3_recipient_2	517	270	248	212	251	196	296	283	266	271	283	0.124373776	0.121621297	0.119907498	0.13366642	0.063683962	0.142107012	0.174922251	0.122413378	0.145652077	0.144056036	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RAD18_recipient_1	38	13	12	6	5	16	12	14	16	21	11	0.095544667	0.091266748	0.054332369	0.06348796	0.098912734	0.045925672	0.092605763	0.104969765	0.154974674	0.066127625	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RAD18_recipient_2	189	96	90	38	28	113	115	100	105	141	79	0.12132666	0.126176826	0.050409896	0.045407706	0.129843009	0.116656278	0.117358197	0.101226318	0.189171746	0.074153725	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RAD51_recipient_1	41	13	14	12	13	22	20	24	15	17	15	0.081679265	0.099472742	0.084778896	0.097031274	0.148381678	0.136794708	0.184669091	0.13641629	0.15442297	0.124008145	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RAD52_recipient_1	27	7	7	7	6	21	18	20	10	13	10	0.061373528	0.060484274	0.087483615	0.075248622	0.245421464	0.184068063	0.207461226	0.142953518	0.190768833	0.121817917	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RAD54_recipient_1	44	13	13	11	10	32	30	30	10	12	15	0.07006741	0.06802388	0.072310507	0.05516954	0.229085854	0.195488465	0.210572569	0.047245471	0.076109202	0.096865952	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RAD54_recipient_2	215	65	59	51	51	143	117	131	37	40	67	0.047327766	0.026080831	0.057776057	0.048409839	0.169364585	0.101884859	0.141209254	0.005732271	0.014617312	0.058187174	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RAD55_recipient_1	75	14	14	13	13	27	23	26	9	12	16	0.047714142	0.0433031	0.049111566	0.037739306	0.105236289	0.076281301	0.092128388	0.025720242	0.049594812	0.064805466	550437	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	CSM2_recipient_1	149	131	128	116	126	127	166	121	153	191	123	0.156847574	0.156972479	0.220368585	0.19796446	0.129006667	0.210113945	0.165701393	0.224224032	0.359456123	0.15313157	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RAD57_recipient_1	157	82	67	49	54	124	90	108	29	26	70	0.149633614	0.092696365	0.091599494	0.090967422	0.222506112	0.157399834	0.195199709	0.006336152	0.000766235	0.103920556	407170	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RAD59_recipient_1	460	292	323	294	323	188	204	223	324	0	292	0.097170177	0.125214999	0.184036209	0.133257717	-0.072559153	-0.092712074	-0.009277879	0.120502834	-0.099992948	0.093163117	296206	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RAD5_recipient_1	170	92	88	46	30	129	96	106	85	104	68	0.082216255	0.081404584	0.064373123	0.030615657	0.108163935	0.038868756	0.076498156	0.037824023	0.106753411	0.025899042	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RAD5_recipient_2	434	201	190	96	68	253	222	250	229	249	194	0.120092661	0.123224109	0.051338961	0.037356277	0.156453583	0.126676818	0.164356077	0.132008286	0.157949436	0.124867416	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RAD61_recipient_1	91	78	77	79	73	101	132	72	103	5	76	0.201056814	0.202437259	0.254863069	0.221669728	0.260821408	0.444618674	0.158444569	0.285405287	-0.071599527	0.216351334	426015	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RTT101_recipient_1	57	10	10	8	8	29	38	26	12	7	14	0.04894266	0.047118785	0.046390226	0.047115306	0.166131352	0.220584081	0.148134074	0.061291178	0.040009754	0.073475289	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RTT101_recipient_2	59	15	15	11	13	34	36	34	12	0	20	0.065992351	0.069456761	0.061493404	0.065920546	0.174730546	0.166497469	0.179908092	0.051059166	-0.022599752	0.093080933	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	RTT107_recipient_1	52	33	33	21	32	47	63	40	19	5	35	0.132866323	0.144955243	0.128012705	0.155332002	0.235293116	0.311277262	0.220263804	0.0450018	-0.045149478	0.167694349	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	SGS1_recipient_1	188	68	73	57	54	137	140	107	53	40	38	0.042167235	0.036726942	0.085857503	0.060512197	0.165699778	0.149187595	0.125838868	-0.011352518	0.007012861	-0.025877645	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	SHU1_recipient_1	193	155	149	142	106	192	180	145	186	211	151	0.152267731	0.147986678	0.226517212	0.127623936	0.298700565	0.200524248	0.12177464	0.20527686	0.292398702	0.163798586	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	CSM2_recipient_2	295	392	458	344	485	78	239	200	438	510	332	0.178352575	0.444029578	0.328362938	0.446645324	-0.302855651	-0.057551562	-0.018363123	0.245237519	0.500852918	0.132387243	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	SHU1_recipient_2	147	134	109	117	131	128	154	121	142	186	130	0.168449608	0.034832596	0.223041404	0.207984413	0.142047564	0.174852035	0.122913138	0.156635759	0.33536717	0.186573773	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	SHU2_recipient_1	269	95	88	87	86	98	149	122	131	171	101	0.028182443	0.022646782	0.075437345	0.044180827	0.005900382	0.045617061	0.039787838	0.051613948	0.135097822	0.040036831	554167	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	SHU2_recipient_2	300	233	237	212	263	243	263	234	279	368	238	0.194974782	0.205447308	0.227194817	0.26142801	0.203616566	0.216864543	0.198683524	0.251027685	0.396380188	0.207662864	554167	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	SLX4_recipient_1	269	262	252	262	256	177	197	179	216	148	207	0.247111474	0.251477729	0.32921228	0.278889797	0.103599018	0.14085732	0.111829078	0.186361023	0.092159172	0.181397872	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	SRS2_recipient_1	169	107	122	101	73	150	180	115	116	49	106	0.118204262	0.18848422	0.162415166	0.088404333	0.204959425	0.248068898	0.12456491	0.127699624	0.010696376	0.123801085	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	SRS2_recipient_2	287	169	172	179	118	200	307	162	184	84	163	0.063885629	0.060371995	0.160663707	0.05589409	0.11055682	0.266818	0.072368133	0.068053767	0.006765344	0.06929853	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	YBR259W_recipient_1	496	508	486	682	570	409	423	502	515	550	462	0.228272173	0.22877707	0.397134449	0.290628959	0.153266374	0.102039757	0.245481207	0.224742175	0.284535561	0.225823188	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	YCL047C_recipient_1	155	78	77	105	79	87	95	81	100	124	86	0.189748975	0.198248974	0.27424538	0.201454579	0.234410522	0.254505382	0.209467789	0.24844163	0.316052171	0.222313412	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	YDL027C_recipient_1	212	144	143	199	155	165	169	151	166	234	146	0.150101718	0.15827326	0.276114588	0.185846368	0.175325776	0.169927894	0.157878452	0.181685263	0.31253129	0.169969286	355664	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	YDL027C_recipient_2	371	324	299	432	329	264	300	280	353	461	285	0.192606865	0.172145956	0.326251312	0.208924658	0.122438732	0.146528034	0.149705074	0.216782151	0.391917514	0.169061807	355664	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	CSM3_recipient_1	148	50	47	53	41	87	84	79	47	32	51	0.078872976	0.077566321	0.105136055	0.077087746	0.144368349	0.15843387	0.155124908	0.049461416	0.046858168	0.089277084	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	YFR057W_recipient_1	463	340	309	417	389	184	308	221	380	391	235	0.160666276	0.133299481	0.258581199	0.234738373	-0.049914488	0.084187683	-0.031455116	0.176208483	0.176500352	0.031771847	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	YKR011C_recipient_1	206	214	199	293	272	118	220	170	177	213	175	0.161716412	0.106778321	0.3263807	0.315248824	-0.1032003	0.094405439	0.096402661	0.045393544	0.176207665	0.127376045	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	YKR011C_recipient_2	201	173	167	239	187	165	192	169	218	267	164	0.183930086	0.180335593	0.336349988	0.22433232	0.15466138	0.206030914	0.204348133	0.289939543	0.380705497	0.183407929	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	YLR179C_recipient_1	197	232	236	339	240	138	94	159	203	174	161	0.210472897	0.190025309	0.501044584	0.176454317	-0.032873343	-0.212026159	-0.011105428	0.063499594	0.007611959	0.021593898	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	YLR179C_recipient_2	269	256	239	347	261	174	221	232	258	315	230	0.212809975	0.206135182	0.382891056	0.242681321	0.019267382	0.135836335	0.149853185	0.212657489	0.32565908	0.188870802	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	YLR356W_recipient_1	436	301	335	449	422	125	213	170	341	336	192	0.09870391	0.188354137	0.264210233	0.228329879	-0.08098535	2.37E-05	-0.077309914	0.128859849	0.160407049	-0.058242187	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	YLR356W_recipient_2	260	201	181	275	186	200	133	195	234	220	205	0.262593511	0.25367791	0.396822341	0.217395195	0.261497702	0.150102973	0.255934301	0.310173367	0.284762922	0.273693719	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	CSM3_recipient_2	37	12	12	14	14	19	16	14	11	7	11	0.071219792	0.082251593	0.108048117	0.119264582	0.133482754	0.088439322	0.073438403	0.05444893	0.055177965	0.067662495	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_1	FLO8_recipient_1	206	132	136	211	158	156	212	195	201	269	171	0.086663084	0.111266497	0.310446355	0.185884197	0.120796335	0.314898576	0.299141247	0.286553935	0.428526248	0.241693392	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	FLO8_recipient_2	149	172	168	211	197	115	156	151	162	211	137	0.23616859	0.240411086	0.31050444	0.312943316	0.074873487	0.171784526	0.183477932	0.204816153	0.383831127	0.159790722	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_1	GAL2_recipient_2	209	231	225	320	256	204	325	260	284	383	210	0.223718347	0.225300071	0.42896257	0.28711264	0.295202828	0.601858573	0.415267951	0.410760522	0.616056071	0.247037074	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	APT2_recipient_1	4840	4748	5178	5765	6018	5338	4899	5318	5185	7340	5194	0.253139271	0.403243529	0.401599835	0.407594208	0.246146468	0.183766147	0.236325383	0.271909798	0.52871594	0.299244793	1296486	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	GAL2_recipient_1	2588	3477	3414	4663	4340	3202	3074	3546	3520	4565	3204	0.204459618	0.245512801	0.45454276	0.412399863	0.122168125	0.092688045	0.186029736	0.166383598	0.409935528	0.128030066	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	HO_recipient_1	4710	81	75	103	100	86	122	95	102	119	102	-1.031581503	-1.170716523	-0.948004428	-1.077734897	-0.894752443	-1.449596555	-0.974928247	-0.951009124	-0.80665223	-0.957538579	0	YES	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	HO_recipient_2	4826	98	93	124	109	109	130	111	123	166	138	-1.057976497	-1.138946569	-0.95097685	-1.065201259	-1.02179474	-1.325410241	-1.042358554	-1.082850872	-1.001896435	-1.15034949	0	YES	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	MAG1_recipient_1	607	738	690	436	894	517	800	713	705	1018	614	0.19680522	0.130863723	0.20136581	0.318855985	0.038388533	0.260767178	0.210803483	0.136992135	0.391717863	0.07761203	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	MAL13_recipient_1	4146	4524	4289	6019	5290	4060	5019	5440	5307	5857	4773	0.184496284	0.190235601	0.372813713	0.273329968	0.057773762	0.208576911	0.288487001	0.265433219	0.292848761	0.223305099	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	MMS1_recipient_1	847	598	542	417	579	921	859	940	556	238	821	0.15324267	0.152845829	0.148334469	0.140311659	0.218055866	0.111758332	0.221252785	0.16871808	0.00587636	0.19716638	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	MMS4_recipient_1	1546	1630	1499	1312	1369	2052	1825	1771	1188	814	1607	0.208096336	0.137192344	0.225894844	0.132298417	0.368758632	0.200155267	0.224004846	0.109762887	0.056596012	0.215705632	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	MPH1_recipient_1	784	670	617	642	649	477	1248	427	707	1031	750	0.168739581	0.094511655	0.224044177	0.177893723	-0.072033409	0.391758911	0.011945849	0.164771631	0.22915477	0.211330151	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	MUS81_recipient_1	502	398	434	384	404	546	517	377	182	18	410	0.134611702	0.170417339	0.211181235	0.206941174	0.208860594	0.181303728	0.048642997	-0.026723043	-0.084531818	0.165901703	1198053	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	NGL3_recipient_1	20797	29877	29978	39702	41607	26139	24223	28472	29436	31416	29171	0.271274971	0.290727687	0.504634126	0.457618746	0.225819633	0.16050503	0.234487171	0.257352939	0.35373812	0.254204824	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	CLA4_recipient_1	2008	1198	1105	1417	1352	1156	1293	1376	848	838	913	0.025868845	0.021281937	0.148186419	0.091329244	-0.028777517	0.033202929	0.069196965	-0.034465589	0.026943633	0.013084597	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	NGL3_recipient_2	3962	7337	6588	10283	8413	5731	6826	7282	7033	7149	6497	0.354155244	0.308463026	0.762783331	0.469265454	0.251295086	0.313834164	0.372833631	0.29091658	0.367911636	0.271802025	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	PSY3_recipient_1	2919	6466	6066	4832	5978	3860	4943	4579	5148	7402	5648	0.630555124	0.710157874	0.552946058	0.614156994	0.221238762	0.21089849	0.31559235	0.284645415	0.828833882	0.416054678	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	PSY3_recipient_2	7817	6723	6116	5210	6751	4637	7050	6163	6633	6778	7275	0.187227271	0.186197874	0.185623353	0.22690044	0.082564798	0.191541971	0.163320148	0.184957484	0.230612669	0.206808645	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RAD18_recipient_1	600	342	299	124	95	337	286	284	325	458	238	0.129373182	0.104700879	0.029577965	0.028487336	0.036438141	0.009264327	-0.003118817	0.024677837	0.136087667	-0.00962666	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RAD18_recipient_2	2807	2547	2308	928	621	3281	3232	2494	2772	3598	2627	0.234806619	0.231253755	0.075766693	0.041908774	0.373442979	0.30613735	0.163436915	0.198929129	0.327767286	0.263957048	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RAD51_recipient_1	587	279	295	297	339	543	443	547	245	262	297	0.066783755	0.087386182	0.13511191	0.155198288	0.269185199	0.160647397	0.226609255	0.05559676	0.080188163	0.077019666	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RAD52_recipient_1	412	159	181	163	161	468	408	469	152	165	209	0.025568179	0.072298698	0.093101291	0.09078382	0.277834597	0.18624057	0.211563062	0.014315858	0.034146663	0.056510667	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RAD54_recipient_1	595	296	372	276	281	688	699	700	197	237	347	0.093254865	0.208099812	0.134280156	0.119828353	0.340869844	0.346252198	0.33426763	0.014736446	0.068923496	0.123653224	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RAD54_recipient_2	3344	1841	1682	1105	1374	3228	2860	3034	1071	1076	1793	0.103139663	0.078499184	0.047744869	0.068148183	0.175780871	0.12307023	0.108829302	0.024691006	0.023872937	0.075101236	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RAD55_recipient_1	1141	341	353	311	361	602	630	634	224	234	375	0.051968659	0.056483799	0.058903342	0.054968091	0.110776963	0.148155225	0.102997731	0.022130224	0.028817428	0.055271376	550437	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	CSM2_recipient_1	1898	2825	3165	2857	2930	2982	3667	2728	3135	4446	2892	0.257304623	0.464829898	0.503020298	0.360606697	0.363894752	0.413187995	0.286930774	0.305393109	0.716072858	0.287828297	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RAD57_recipient_1	2378	1771	1646	1210	1473	2989	2317	2861	977	940	1673	0.138594449	0.132883981	0.139307555	0.154880445	0.336986493	0.273888089	0.327913489	0.076212264	0.068166133	0.097229947	407170	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RAD59_recipient_1	7246	8525	7738	7240	8789	8798	8753	8565	11177	3064	10783	0.236724026	0.118266775	0.258768345	0.193717921	0.342223894	0.2366482	0.235056996	0.462085559	0.098986643	0.42313223	296206	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RAD5_recipient_1	2263	2296	2180	1021	818	2960	2299	2639	2134	2593	1824	0.206765904	0.219073139	0.101828804	0.078104793	0.236268108	0.123326748	0.177911809	0.128009647	0.245922736	0.099542656	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RAD5_recipient_2	6558	4999	4700	2169	1869	5915	4991	6192	5253	5740	4560	0.181845662	0.192122209	0.057084982	0.065112828	0.214703614	0.132594416	0.227332145	0.148135513	0.202519564	0.130966462	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RAD61_recipient_1	1374	1944	1909	1949	1957	2239	3058	1873	2499	294	2003	0.303767833	0.316721505	0.400897612	0.373376229	0.278181811	0.585096507	0.242970654	0.401712174	-0.055994408	0.337225444	426015	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RTT101_recipient_1	858	241	255	229	208	658	857	549	304	130	365	0.050268038	0.063930492	0.083775451	0.05708615	0.20720707	0.264133696	0.113796711	0.082602095	0.014271131	0.096451889	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RTT101_recipient_2	896	373	362	271	347	728	835	805	302	28	529	0.082364863	0.082198119	0.082246705	0.092925094	0.169254901	0.195890829	0.208943782	0.061747315	-0.036861134	0.13044594	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	RTT107_recipient_1	945	920	911	454	889	1118	1538	1070	484	84	811	0.132683704	0.151048418	0.070261968	0.143189075	0.138477736	0.193727448	0.197658486	-0.024114623	-0.144013662	0.005938276	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	SGS1_recipient_1	2341	1677	1854	1391	1459	2911	2957	2729	1389	950	1149	0.143743707	0.182580982	0.19814488	0.176856105	0.316690307	0.264573139	0.341791437	0.060279999	0.035258451	0.040483165	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	SHU1_recipient_1	2998	3700	3291	2765	2508	3248	3858	3390	4286	4877	3461	0.153708062	0.080293682	0.168049219	0.111231351	0.037105448	0.108682437	0.051944532	0.186202624	0.347268392	0.081665659	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	CSM2_recipient_2	4733	10987	10033	8859	12523	4056	7172	6705	12045	11675	10015	0.347532122	0.33483349	0.494741678	0.564357255	-0.136794705	0.040988713	0.13261982	0.427638128	0.548872757	0.286083041	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	SHU1_recipient_2	2341	2898	2675	2887	3166	2548	3254	2669	3335	4132	2920	0.042374096	-0.025789085	0.304164949	0.182401458	-0.045140325	-0.007592286	-0.039730117	0.096239469	0.322377957	0.050697544	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	SHU2_recipient_1	3471	2372	2184	1946	2307	2250	3514	3055	3186	4176	2608	0.10709421	0.107235334	0.136299568	0.135934349	0.053442342	0.148125963	0.126007052	0.150830098	0.305946309	0.119688671	554167	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	SHU2_recipient_2	5119	4885	5508	4461	5751	5031	6106	5204	6614	8504	5420	0.046527147	0.13170932	0.168145557	0.135018821	0.049707187	0.135394314	0.058884768	0.20387669	0.401007131	0.072683197	554167	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	SLX4_recipient_1	4487	6514	5463	6441	6889	4032	3550	3763	5430	3962	3956	0.259965372	0.119279492	0.418388688	0.364605505	0.023053725	-0.127141495	-0.075871386	0.19506377	0.120410053	-0.079591187	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	SRS2_recipient_1	2131	2666	2696	2477	1977	3355	4185	2917	2894	1384	2768	0.329992277	0.365477523	0.378177506	0.257343566	0.44248518	0.571230294	0.344042223	0.356026425	0.113551172	0.340386717	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	SRS2_recipient_2	3638	3582	4247	3837	3126	4073	5232	3229	4559	1728	3401	0.091720893	0.244892424	0.274060012	0.177893047	0.167184588	0.155402697	0.034426638	0.23428983	-0.006227752	0.042949267	NA	no	Neutral	DNA_repair	NA	NA	NA	NA
HO_donor_2	YBR259W_recipient_1	7347	13693	13479	19297	17148	10680	12490	14571	13651	14647	13400	0.479122728	0.555877619	0.883538776	0.70150659	0.343889716	0.402888732	0.581614298	0.448044168	0.552430923	0.505496513	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	YCL047C_recipient_1	2339	1914	1922	2618	2018	1992	2363	2129	2563	3301	2261	0.288354941	0.320566499	0.446551757	0.315332526	0.325927575	0.410733907	0.352691727	0.416377751	0.567884555	0.364323216	NA	no	Neutral	Neutral	NA	NA	NA	NA
HO_donor_2	YDL027C_recipient_1	3205	3593	3527	4903	4170	3623	4076	4279	3968	6187	3864	0.224923502	0.240725991	0.432883656	0.314074008	0.17031122	0.23361692	0.3327085	0.233567217	0.565120291	0.265864214	355664	no	Neutral	Neutral	NA	NA	NA	NA
